route_avg_temp,route_avg_wind_speed,route_avg_precip,route_avg_humidity,route_avg_visibility,route_avg_pressure,origin_avg_temp,origin_avg_wind_speed,origin_avg_precip,origin_avg_humidity,origin_avg_visibility,origin_avg_pressure,dest_avg_temp,dest_avg_wind_speed,dest_avg_precip,dest_avg_humidity,dest_avg_visibility,dest_avg_pressure,truck_age,load_capacity_pounds,mileage_mpg,age,experience,average_speed_mph,avg_no_of_vehicles,distance,average_hours,route_description,origin_description,dest_description,accident,fuel_type,gender,driving_style,ratings,is_midnight,delay
50.0,10.5,0.0,61.0,5.75,1021.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,14.625,6.333333333333333,0.0,83.91666666666667,5.25,1029.9166666666667,11,6000.0,25,47,20,62.09,1733.9166666666667,167.88,3.36,Clear,Light snow,Partly cloudy,1,diesel,male,proactive,4,0,1
38.0,6.0,0.0,71.0,6.0,1019.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,35.333333333333336,10.625,0.0,79.83333333333333,6.0,1025.7916666666667,9,15000.0,27,48,5,59.83,1725.5833333333333,211.56,4.23,Clear,Light snow,Light snow,1,diesel,Unknown,proactive,3,0,0
44.0,11.5,0.05,93.75,3.75,1004.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,49.208333333333336,10.125,0.029166666666666664,69.29166666666667,5.083333333333333,1012.5416666666666,12,3000.0,25,47,9,35.86,1742.25,914.29,18.29,Heavy snow,Light snow,Sunny,1,diesel,male,conservative,8,1,0
32.25,8.5,0.0,74.5,6.0,1022.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,17.375,12.041666666666666,0.0,72.54166666666667,6.0,1030.0416666666667,9,3000.0,18,49,0,59.49,1717.25,440.71,8.81,Clear,Light snow,Overcast,0,gas,male,proactive,7,0,0
51.0,4.25,0.0,92.75,3.25,1015.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,30.208333333333332,10.25,0.0,84.20833333333333,5.25,1026.4583333333333,9,3000.0,23,50,4,48.14,1725.5833333333333,93.45,1.87,Clear,Light snow,Overcast,1,diesel,male,conservative,3,0,0
35.5,5.5,0.0,69.0,6.0,1022.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,49.083333333333336,11.875,0.029166666666666664,69.70833333333333,5.083333333333333,1012.5416666666666,8,6000.0,23,44,3,57.43,1725.5833333333333,910.4,18.21,Clear,Light snow,Sunny,1,diesel,male,proactive,7,1,0
33.5,5.0,0.0,71.5,6.0,1020.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,47.125,12.541666666666666,0.008333333333333333,78.70833333333333,6.0,1017.625,8,10000.0,24,47,9,60.34,1725.5833333333333,672.64,13.45,Clear,Light snow,Partly cloudy,1,diesel,male,proactive,8,0,1
31.25,6.75,0.0,76.0,6.0,1015.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,55.166666666666664,5.958333333333333,0.0,71.5,6.0,1020.5,8,15000.0,17,47,9,57.58,1717.25,860.1,17.2,Clear,Light snow,Sunny,0,gas,male,conservative,4,1,1
39.0,3.5,0.0,93.75,6.0,1013.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,62.0,5.479166666666667,0.008333333333333333,82.75,5.75,1018.6666666666666,9,4000.0,22,39,2,62.07,1717.25,755.31,15.11,Clear,Light snow,Light rain,0,diesel,male,proactive,3,0,0
58.0,13.75,0.0,70.0,6.0,1011.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,46.666666666666664,10.5,0.020833333333333332,76.54166666666667,5.541666666666667,1009.4166666666666,10,6000.0,18,38,5,42.78,1725.5833333333333,1048.57,20.97,Light rain,Light snow,Sunny,1,gas,male,conservative,3,1,0
72.0,2.5,0.0,67.0,6.0,1007.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,26.0,12.75,0.0,52.291666666666664,6.0,1030.0416666666667,8,10000.0,23,54,17,59.56,1717.25,535.94,10.72,Patchy rain possible,Light snow,Partly cloudy,0,diesel,male,proactive,8,0,0
57.0,8.5,0.0,70.75,6.0,1011.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,-5.416666666666667,9.625,0.0,84.375,6.0,1035.5,9,10000.0,19,46,4,48.62,1717.25,366.88,7.34,Cloudy,Light snow,Partly cloudy,0,gas,male,conservative,3,0,0
53.5,10.75,0.0,56.0,6.0,1019.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,31.083333333333332,8.75,0.0,80.66666666666667,5.25,1026.625,10,6000.0,24,48,20,58.74,1742.25,155.21,3.1,Cloudy,Light snow,Overcast,1,diesel,male,proactive,7,0,0
37.0,8.5,0.0,81.75,5.5,1016.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,28.458333333333332,11.125,0.0,84.45833333333333,5.625,1025.6666666666667,11,6000.0,24,48,5,59.59,1725.5833333333333,107.61,2.15,Clear,Light snow,Overcast,1,diesel,male,proactive,2,0,0
50.0,7.5,0.0,76.5,6.0,1016.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,39.708333333333336,15.416666666666666,0.020833333333333332,82.04166666666667,5.458333333333333,1009.4166666666666,10,10000.0,17,49,20,62.2,1725.5833333333333,1014.75,20.3,Clear,Light snow,Sunny,1,gas,male,proactive,4,1,0
53.5,6.75,0.0,80.0,6.0,1012.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,55.0,8.875,0.0,69.91666666666667,6.0,1016.0416666666666,14,6000.0,22,50,12,40.08,1725.5833333333333,788.25,15.76,Clear,Light snow,Cloudy,1,diesel,male,conservative,8,0,0
43.0,7.0,0.0,93.75,6.0,1012.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,41.625,11.125,0.008333333333333333,80.33333333333333,5.041666666666667,1015.6666666666666,11,20000.0,18,48,15,44.02,1733.9166666666667,710.27,14.21,Clear,Light snow,Overcast,1,gas,male,conservative,8,0,0
53.0,10.75,0.0,84.25,6.0,1013.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,57.583333333333336,9.541666666666666,0.0,83.0,6.0,1017.375,12,10000.0,23,45,9,62.16,1742.25,895.97,17.92,Clear,Light snow,Overcast,1,diesel,male,proactive,7,1,0
46.0,9.25,0.0,91.25,4.0,1011.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,28.416666666666668,9.125,0.008333333333333333,84.375,5.583333333333333,1023.75,7,3000.0,23,43,10,56.78,1767.25,310.71,6.21,Clear,Light snow,Partly cloudy,1,diesel,male,proactive,8,0,0
70.0,4.0,0.0,81.5,3.5,1012.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,31.666666666666668,10.125,0.0,83.45833333333333,5.5,1026.2083333333333,9,6000.0,23,44,9,42.24,1733.9166666666667,110.4,2.21,Mist,Light snow,Light snow,1,diesel,male,conservative,7,0,0
51.5,7.0,0.0,55.25,6.0,1017.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,54.708333333333336,6.0,0.0,86.75,4.75,1021.0416666666666,13,20000.0,17,57,26,44.76,1742.25,585.34,11.71,Clear,Light snow,Partly cloudy,1,gas,male,conservative,4,0,0
61.0,13.0,0.0,70.5,5.75,1019.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,18.208333333333332,9.625,0.0,76.16666666666667,5.041666666666667,1029.4583333333333,9,3000.0,22,45,14,42.94,1733.9166666666667,155.49,3.11,Cloudy,Light snow,Clear,1,diesel,female,conservative,6,0,0
51.0,12.0,0.0,73.5,6.0,1014.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,38.333333333333336,11.666666666666666,0.0,81.04166666666667,4.833333333333333,1021.5,10,4000.0,17,45,4,56.85,1742.25,402.53,8.05,Clear,Light snow,Overcast,1,gas,female,proactive,4,0,0
49.0,8.5,0.0,83.0,6.0,1019.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,58.0,9.833333333333334,0.0,71.875,6.0,1020.0833333333334,8,3000.0,16,47,17,46.67,1733.9166666666667,867.28,17.35,Partly cloudy,Light snow,Overcast,1,gas,male,conservative,6,1,0
40.25,8.5,0.0,92.75,6.0,1012.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,12.5,12.166666666666666,0.0,57.375,6.0,1032.3333333333333,8,3000.0,18,39,5,47.22,1717.25,235.89,4.72,Clear,Light snow,Overcast,0,gas,male,conservative,3,0,0
42.5,6.75,0.0,89.25,3.5,1015.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,31.25,8.791666666666666,0.0,85.16666666666667,3.8333333333333335,1023.875,7,3000.0,21,47,12,59.33,1725.5833333333333,239.78,4.8,Cloudy,Light snow,Moderate snow,1,diesel,male,proactive,6,0,1
55.0,7.75,0.0,57.5,4.75,1013.25,75.70833333333333,6.583333333333333,0.0,70.16666666666667,6.0,1010.9166666666666,75.66666666666667,5.041666666666667,0.0,81.625,6.0,1013.75,9,20000.0,16,46,11,57.41,1811.25,447.0,8.94,Sunny,Clear,Clear,0,gas,male,proactive,6,0,0
43.25,6.25,0.0,73.0,6.0,1018.25,75.70833333333333,6.583333333333333,0.0,70.16666666666667,6.0,1010.9166666666666,55.166666666666664,5.958333333333333,0.0,71.5,6.0,1020.5,9,4000.0,15,49,10,57.66,1819.5833333333333,904.14,18.08,Clear,Clear,Sunny,1,gas,male,proactive,4,1,1
46.5,4.25,0.0,82.0,4.0,1014.25,75.70833333333333,6.583333333333333,0.0,70.16666666666667,6.0,1010.9166666666666,58.0,9.833333333333334,0.0,71.875,6.0,1020.0833333333334,11,3000.0,14,51,20,43.95,1827.9166666666667,884.53,17.69,Sunny,Clear,Overcast,1,gas,male,conservative,8,1,0
60.25,9.25,0.0,83.75,6.0,1015.25,36.041666666666664,8.333333333333334,0.0,24.5,6.0,1023.4166666666666,57.875,9.75,0.0,19.625,6.0,1021.3333333333334,7,20000.0,23,52,20,47.57,1760.5416666666667,89.4,1.79,Light rain shower,Sunny,Sunny,0,diesel,male,conservative,4,0,0
61.5,3.75,0.0,84.75,6.0,1015.5,36.041666666666664,8.333333333333334,0.0,24.5,6.0,1023.4166666666666,-2.4166666666666665,2.8333333333333335,0.0,82.58333333333333,6.0,1037.4166666666667,12,15000.0,16,51,16,39.85,1768.875,657.5,13.15,Clear,Sunny,Sunny,1,gas,male,conservative,4,0,0
53.25,12.75,0.0,81.75,3.5,1006.5,36.041666666666664,8.333333333333334,0.0,24.5,6.0,1023.4166666666666,7.916666666666667,4.875,0.0,80.75,5.0,1029.5,11,6000.0,22,48,16,43.68,1760.5416666666667,770.99,15.42,Blizzard,Sunny,Clear,0,gas,male,conservative,4,0,0
48.75,10.25,0.0,76.5,5.75,1012.0,36.041666666666664,8.333333333333334,0.0,24.5,6.0,1023.4166666666666,23.0,10.416666666666666,0.0,55.125,6.0,1031.0416666666667,8,6000.0,18,50,18,48.22,1768.875,1177.33,23.55,Clear,Sunny,Partly cloudy,1,Unknown,male,conservative,6,1,0
56.0,9.0,0.0,72.0,6.0,1017.75,36.041666666666664,8.333333333333334,0.0,24.5,6.0,1023.4166666666666,37.083333333333336,1.3333333333333333,0.0,54.833333333333336,6.0,1029.0416666666667,8,3000.0,16,46,15,57.23,1777.2083333333333,746.72,14.93,Clear,Sunny,Sunny,1,gas,female,proactive,4,0,0
83.0,6.5,0.0,53.25,6.0,1009.5,36.041666666666664,8.333333333333334,0.0,24.5,6.0,1023.4166666666666,26.0,12.75,0.0,52.291666666666664,6.0,1030.0416666666667,5,6000.0,20,57,17,58.88,1777.2083333333333,1155.04,23.1,Clear,Sunny,Partly cloudy,1,Unknown,male,proactive,4,1,0
61.5,9.75,0.0,51.0,6.0,1017.75,35.125,4.875,0.0,74.375,5.208333333333333,1026.7916666666667,32.666666666666664,3.2083333333333335,0.0,83.5,6.0,1025.9166666666667,7,10000.0,18,44,11,63.11,1706.7916666666667,1103.33,22.07,Clear,Sunny,Patchy light snow,1,gas,male,proactive,5,1,0
60.25,9.25,0.0,83.75,6.0,1015.25,57.875,9.75,0.0,19.625,6.0,1021.3333333333334,36.041666666666664,8.333333333333334,0.0,24.5,6.0,1023.4166666666666,9,20000.0,25,50,6,60.17,1700.4583333333333,89.4,1.79,Light rain shower,Sunny,Sunny,1,diesel,male,proactive,8,0,0
58.75,7.5,0.0,53.75,6.0,1015.25,57.875,9.75,0.0,19.625,6.0,1021.3333333333334,-2.4166666666666665,2.8333333333333335,0.0,82.58333333333333,6.0,1037.4166666666667,10,4000.0,23,48,7,63.05,1717.125,740.08,14.8,Sunny,Sunny,Sunny,1,diesel,male,proactive,2,0,0
35.25,8.5,0.0,87.0,6.0,1004.25,57.875,9.75,0.0,19.625,6.0,1021.3333333333334,7.916666666666667,4.875,0.0,80.75,5.0,1029.5,8,3000.0,15,41,7,56.94,1708.7916666666667,814.7,16.29,Clear,Sunny,Clear,1,gas,male,conservative,2,1,0
57.0,11.75,0.0,64.5,6.0,1008.0,57.875,9.75,0.0,19.625,6.0,1021.3333333333334,37.083333333333336,1.3333333333333333,0.0,54.833333333333336,6.0,1029.0416666666667,13,3000.0,28,54,18,46.02,1700.4583333333333,830.87,16.62,Cloudy,Sunny,Sunny,1,diesel,male,conservative,9,1,0
86.0,12.25,0.05,43.25,5.0,1005.5,57.875,9.75,0.0,19.625,6.0,1021.3333333333334,26.0,12.75,0.0,52.291666666666664,6.0,1030.0416666666667,9,3000.0,18,51,15,60.17,1700.4583333333333,1174.26,23.49,Moderate or heavy rain shower,Sunny,Partly cloudy,1,gas,male,proactive,6,1,0
31.0,4.25,0.0,86.0,6.0,1009.5,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,12,15000.0,21,47,7,39.22,1891.375,310.75,6.22,Clear,Overcast,Light snow,1,gas,male,conservative,7,0,1
39.5,4.75,0.0,53.75,6.0,1017.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,28.541666666666668,10.125,0.0,82.25,4.458333333333333,1026.4583333333333,11,3000.0,26,37,7,59.53,1891.375,273.0,5.46,Cloudy,Overcast,Moderate snow,1,diesel,male,proactive,2,0,0
40.0,7.5,0.0,52.0,6.0,1026.5,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,35.541666666666664,13.583333333333334,0.012500000000000002,75.29166666666667,3.75,1015.4583333333334,10,15000.0,23,53,15,63.16,1891.375,470.26,9.41,Sunny,Overcast,Moderate snow,1,diesel,male,proactive,4,0,0
26.5,4.25,0.0,81.25,6.0,1016.5,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,7.916666666666667,4.875,0.0,80.75,5.0,1029.5,8,15000.0,23,48,-2,58.26,1883.0416666666667,1000.56,20.01,Clear,Overcast,Clear,1,diesel,male,proactive,2,1,0
22.75,11.25,0.0,84.75,3.75,1010.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,23.0,10.416666666666666,0.0,55.125,6.0,1031.0416666666667,11,3000.0,21,43,6,60.19,1874.7083333333333,618.75,12.38,Heavy snow,Overcast,Partly cloudy,0,diesel,male,proactive,2,0,0
29.5,11.25,0.0,76.0,6.0,1013.5,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,40.5,10.25,0.0,78.41666666666667,6.0,1021.3333333333334,13,3000.0,21,49,10,43.39,1883.0416666666667,167.91,3.36,Overcast,Overcast,Overcast,1,diesel,male,conservative,8,0,1
36.5,11.75,0.0,72.0,3.5,1001.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,48.083333333333336,10.625,0.025000000000000005,72.125,5.75,1011.8333333333334,10,3000.0,25,55,13,56.84,1874.7083333333333,670.83,13.42,Clear,Overcast,Sunny,0,diesel,male,conservative,5,0,0
39.75,12.0,0.0,56.25,4.0,1014.75,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,23.0,10.083333333333334,0.0,66.70833333333333,6.0,1030.0833333333333,7,15000.0,25,40,3,49.68,1874.7083333333333,455.09,9.1,Blowing snow,Overcast,Cloudy,0,diesel,male,conservative,4,0,0
72.5,3.25,0.0,15.0,6.0,1015.0,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,15.791666666666666,8.291666666666666,0.0,83.16666666666667,5.875,1028.5833333333333,8,6000.0,15,47,11,44.85,1899.7083333333333,369.9,7.4,Clear,Overcast,Clear,1,gas,male,conservative,4,0,0
77.25,8.5,0.0,31.75,6.0,1009.5,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,14.625,6.333333333333333,0.0,83.91666666666667,5.25,1029.9166666666667,11,10000.0,15,46,10,50.83,1891.375,414.27,8.29,Sunny,Overcast,Partly cloudy,1,gas,male,conservative,2,0,0
51.0,10.75,0.0,49.75,6.0,1005.75,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,35.333333333333336,10.625,0.0,79.83333333333333,6.0,1025.7916666666667,12,6000.0,22,46,1,64.15,1883.0416666666667,240.42,4.81,Partly cloudy,Overcast,Light snow,1,diesel,male,proactive,8,0,0
32.75,10.5,0.025,90.0,3.5,1008.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,49.208333333333336,10.125,0.029166666666666664,69.29166666666667,5.083333333333333,1012.5416666666666,10,6000.0,16,54,11,44.46,1891.375,645.31,12.91,Heavy snow,Overcast,Sunny,1,gas,male,conservative,8,0,0
38.0,9.75,0.0,70.25,3.5,1006.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,17.375,12.041666666666666,0.0,72.54166666666667,6.0,1030.0416666666667,9,15000.0,22,45,16,59.91,1883.0416666666667,174.94,3.5,Heavy snow,Overcast,Overcast,1,diesel,male,proactive,9,0,1
54.5,11.5,0.0,48.75,6.0,1008.0,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,30.208333333333332,10.25,0.0,84.20833333333333,5.25,1026.4583333333333,9,3000.0,20,48,12,52.81,1874.7083333333333,250.02,5.0,Clear,Overcast,Overcast,0,diesel,male,conservative,6,0,0
21.0,9.5,0.1,94.0,3.5,1021.75,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,49.083333333333336,11.875,0.029166666666666664,69.70833333333333,5.083333333333333,1012.5416666666666,7,15000.0,18,44,15,58.17,1891.375,641.57,12.83,Heavy snow,Overcast,Sunny,1,gas,male,proactive,4,0,1
32.0,10.0,0.0,81.5,3.0,1018.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,47.125,12.541666666666666,0.008333333333333333,78.70833333333333,6.0,1017.625,9,3000.0,23,45,4,51.3,1874.7083333333333,379.11,7.58,Blizzard,Overcast,Partly cloudy,0,gas,male,conservative,7,0,0
41.0,12.5,0.05,88.0,2.25,1009.0,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,55.166666666666664,5.958333333333333,0.0,71.5,6.0,1020.5,11,20000.0,22,45,2,57.65,1883.0416666666667,879.04,17.58,Blizzard,Overcast,Sunny,1,diesel,male,proactive,2,1,1
58.0,13.75,0.0,59.5,3.75,1001.0,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,62.0,5.479166666666667,0.008333333333333333,82.75,5.75,1018.6666666666666,10,3000.0,19,47,9,65.42,1883.0416666666667,445.41,8.91,Clear,Overcast,Light rain,1,gas,male,Unknown,8,0,0
43.5,8.0,0.025,80.25,5.0,1006.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,46.666666666666664,10.5,0.020833333333333332,76.54166666666667,5.541666666666667,1009.4166666666666,8,3000.0,22,46,8,43.69,1883.0416666666667,793.44,15.87,Partly cloudy,Overcast,Sunny,1,diesel,male,conservative,7,0,0
71.0,6.25,0.0,50.0,5.25,1015.0,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,26.0,12.75,0.0,52.291666666666664,6.0,1030.0416666666667,10,15000.0,21,43,10,46.57,1891.375,689.34,13.79,Moderate or heavy rain shower,Overcast,Partly cloudy,1,gas,male,conservative,2,0,1
54.5,6.5,0.0,53.75,6.0,1013.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,-5.416666666666667,9.625,0.0,84.375,6.0,1035.5,10,10000.0,15,52,21,61.04,1874.7083333333333,663.33,13.27,Partly cloudy,Overcast,Partly cloudy,0,gas,male,proactive,6,0,0
65.0,7.25,0.0,53.5,6.0,1010.0,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,31.083333333333332,8.75,0.0,80.66666666666667,5.25,1026.625,9,4000.0,22,57,21,49.47,1874.7083333333333,262.27,5.25,Sunny,Overcast,Overcast,0,diesel,male,conservative,9,0,0
47.75,9.0,0.0,81.5,3.5,1011.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,28.458333333333332,11.125,0.0,84.45833333333333,5.625,1025.6666666666667,10,4000.0,22,42,2,60.48,1883.0416666666667,214.42,4.29,Heavy snow,Overcast,Overcast,1,diesel,male,proactive,7,0,1
45.25,10.0,0.0,74.0,4.75,1005.75,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,39.708333333333336,15.416666666666666,0.020833333333333332,82.04166666666667,5.458333333333333,1009.4166666666666,12,6000.0,22,44,7,47.62,1891.375,768.78,15.38,Moderate snow,Overcast,Sunny,1,diesel,male,conservative,4,0,0
49.5,12.0,0.0,38.25,6.0,1013.5,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,55.0,8.875,0.0,69.91666666666667,6.0,1016.0416666666666,9,3000.0,17,46,13,44.2,1874.7083333333333,492.14,9.84,Clear,Overcast,Cloudy,0,gas,male,conservative,5,0,0
49.5,3.25,0.0,66.75,4.5,1018.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,41.625,11.125,0.008333333333333333,80.33333333333333,5.041666666666667,1015.6666666666666,9,15000.0,20,54,22,62.13,1891.375,439.0,8.78,Clear,Overcast,Overcast,1,Unknown,male,proactive,8,0,0
49.0,9.75,0.0,66.75,6.0,1008.75,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,57.583333333333336,9.541666666666666,0.0,83.0,6.0,1017.375,13,3000.0,17,46,13,31.63,1891.375,588.22,11.76,Partly cloudy,Overcast,Overcast,1,gas,male,conservative,6,0,1
46.0,10.0,0.0,69.75,3.0,1017.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,28.416666666666668,9.125,0.008333333333333333,84.375,5.583333333333333,1023.75,10,3000.0,15,51,14,59.57,1916.375,218.31,4.37,Moderate snow,Overcast,Partly cloudy,1,gas,male,proactive,6,0,1
72.0,9.5,0.0,58.5,3.75,1012.5,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,31.666666666666668,10.125,0.0,83.45833333333333,5.5,1026.2083333333333,11,4000.0,25,44,16,39.32,1874.7083333333333,229.5,4.59,Light drizzle,Overcast,Light snow,0,diesel,male,conservative,4,0,1
50.25,4.5,0.0,59.25,5.25,1016.0,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,54.708333333333336,6.0,0.0,86.75,4.75,1021.0416666666666,9,4000.0,21,53,24,61.13,1874.7083333333333,458.91,9.18,Patchy moderate snow,Overcast,Partly cloudy,0,diesel,male,proactive,6,0,0
62.5,6.25,0.0,61.5,6.0,1015.25,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,18.208333333333332,9.625,0.0,76.16666666666667,5.041666666666667,1029.4583333333333,10,6000.0,16,51,17,47.02,1883.0416666666667,391.87,7.84,Sunny,Overcast,Clear,1,gas,female,conservative,8,0,0
